backhand: precision: 0.6, recall: 0.45, f1-score: 0.5142857142857143, support: 20, 
smash: precision: 0.4642857142857143, recall: 0.65, f1-score: 0.5416666666666667, support: 20, 
forehandopen: precision: 0.8571428571428571, recall: 0.9230769230769231, f1-score: 0.888888888888889, support: 26, 
backhand2hands: precision: 0.5714285714285714, recall: 0.7619047619047619, f1-score: 0.6530612244897959, support: 21, 
backhandslice: precision: 0.7647058823529411, recall: 0.6190476190476191, f1-score: 0.6842105263157895, support: 21, 
forehandflat: precision: 0.6111111111111112, recall: 0.4782608695652174, f1-score: 0.5365853658536586, support: 23, 
forslice: precision: 0.2222222222222222, recall: 0.3333333333333333, f1-score: 0.26666666666666666, support: 18, 
service: precision: 0.6842105263157895, recall: 0.48148148148148145, f1-score: 0.5652173913043478, support: 27, 
volley: precision: 0.3333333333333333, recall: 0.3333333333333333, f1-score: 0.3333333333333333, support: 18, 
volleybackhand: precision: 0.631578947368421, recall: 0.5217391304347826, f1-score: 0.5714285714285715, support: 23, 
accuracy: 0.5668202764976958
macro avg: precision: 0.5740019165560961, recall: 0.5552177452177451, f1-score: 0.5555344349233433, support: 217, 
weighted avg: precision: 0.5930221550985986, recall: 0.5668202764976958, f1-score: 0.570774449860759, support: 217, 
